Total Population,California County,ZIP,Longitude,Latitude,Ozone Pctl,PM2.5 Pctl,Diesel PM Pctl,Pesticides Pctl,Traffic Pctl,Asthma Pctl,Poverty Pctl
3663,Alameda ,94704,-122.269247,37.8678899,2.7,35.31,65.28,0,69.32,77.65,36.88
5627,Alameda ,94587,-122.0648512,37.5937913,0,27.71,63.45,25.41,86.89,78.93,56.68
4621,Alameda ,94538,-121.9600524,37.5362999,0,28.9,69.16,14.25,52.38,93.94,21.06
5329,Alameda ,94544,-122.0686965,37.6431464,0,27.2,88.62,0,19.6,96.33,72.02
4459,Alameda ,94606,-122.2433878,37.8052604,0,32.14,46.31,0,46.2,72.52,39.59
6253,Alameda ,94544,-122.0613101,37.6428259,2.57,35.45,78.61,0,65.09,77.65,28.85
4107,Alameda ,94560,-122.0353376,37.5362317,0,22.03,95.83,0,24.93,78.68,50.31
4167,Alameda ,94560,-121.9444248,37.4731786,0,24.14,46.74,0,80.3,99.34,66.55
5968,Alameda ,94541,-122.0650918,37.6715227,27.94,30.17,90.51,0,79.44,38.18,19.38
2283,Alameda ,94587,-122.0683607,37.5849858,0,21.31,96.63,0,31.56,38.83,29.55
4336,Alameda ,94550,-121.6633595,37.6396925,0,20.28,86.54,0,56.04,35.35,87.29
4010,Alameda ,94541,-122.064666,37.6807791,0,31.6,71.12,63.14,81.65,34.03,4.4
3102,Alameda ,94577,-122.1562452,37.7330544,49.8,35.69,54.44,56.82,42.91,49.06,25.34
4651,Alameda ,94605,-122.1709595,37.7646056,0,22.63,86.9,0,22.6,78.68,15.98
4349,Alameda ,94501,-122.2593887,37.7601324,32.76,31.55,72.25,47.43,98.7,39.02,6.76
4014,Alameda ,94605,-122.1658929,37.7564187,0.93,34.79,57,0,79.14,67.29,16.14
6496,Alameda ,94538,-121.9737794,37.5313805,3.42,31.99,38.84,0,50.82,72.36,12.53
7301,Alameda ,94555,-122.0506927,37.5594781,5.88,34.32,41.95,0,64,61.52,27.29
3646,Alameda ,94538,-121.9850086,37.5509731,0,22.67,94.25,0,31.86,78.68,13.77
6816,Alameda ,94501,-122.2582454,37.7698045,5.16,33.33,45.4,0,60.81,60.37,28.63
2425,Alameda ,94536,-122.0049883,37.5481818,0,23.55,76.37,0,87.6,88.8,49.65
2839,Alameda ,94568,-121.9324146,37.7126931,0,29.71,85.51,0,85.59,73.07,11.42
4140,Alameda ,94587,-122.0766119,37.586873,8.2,28.47,52.5,9.2,82.59,93.75,10.21
5394,Alameda ,94551,-121.7803522,37.6852748,4.16,27.78,56.13,45.7,71.61,69.4,31.8
2502,Alameda ,94587,-121.9815046,37.6163011,0,19.93,90.9,0,19.63,98.85,44.57
6802,Alameda ,94703,-122.2746683,37.8503526,0,32.78,65.85,0,75.33,59.67,32.98
3271,Alameda ,94546,-122.0650347,37.6992244,0,21.44,94.63,0,24.71,78.68,26.14
4129,Alameda ,94536,-122.0305372,37.5635007,0,22.39,65.07,0,79.86,76.24,32.81
5989,Alameda ,94501,-122.2852965,37.7680009,3.48,31.31,38.84,0,37.69,73.06,66.9
8368,Alameda ,94551,-121.7322556,37.6979083,0,20.59,92.62,0,38.79,31.18,96.86
3142,Alameda ,94588,-121.9106268,37.6888608,6.78,38.2,73.1,0,85.11,7.78,37.4
6049,Alameda ,94588,-121.9128234,37.6706482,0,26.7,71.64,0,78.82,88.49,50.35
3517,Alameda ,94568,-121.8851034,37.7050938,0,20.63,92.74,0,59.97,98.43,52.31
3841,Alameda ,94610,-122.253492,37.8135127,0,30.34,86.69,0,25.07,72.55,32.25
5074,Alameda ,94546,-122.0672947,37.6881143,0.24,33.74,66.14,0,55.72,59.54,61.86
3770,Alameda ,94703,-122.2771352,37.8668441,0,25.35,74.08,0,77.64,87.81,15.94
4016,Alameda ,94541,-122.0517821,37.6874049,0,30.16,86.69,0,82.9,72.41,35.12
3719,Alameda ,94580,-122.1375262,37.6691812,0,23.33,80.38,0,59.19,82.8,42.48
7436,Alameda ,94588,-121.8923831,37.6930366,0,33.22,65.74,0,75.44,59.54,38.92
2493,Alameda ,94538,-121.976577,37.5465021,0,22.71,75.04,0,83.93,79.56,58.29
6786,Alameda ,94579,-122.1553145,37.6845009,0.7,33.86,58.31,0,68.63,60.72,26.21
4551,Alameda ,94609,-122.2647445,37.8485167,29.58,30.61,90.5,53.84,79.01,38.46,6.61
2220,Alameda ,94536,-122.0026581,37.5717252,50.5,34.77,53.85,0,31.77,16.58,27.23
7081,Alameda ,94609,-122.2648882,37.8419909,49.14,40.71,11.18,48.69,69.94,29.61,11.85
4077,Alameda ,94551,-121.7689116,37.7347438,0,31.61,70.91,55.1,99.56,33.97,5.96
540,Alameda ,94560,-122.045728,37.5425433,0,20.87,96.13,0,78.51,99.93,
4308,Alameda ,94609,-122.2579072,37.8305977,12.23,34.03,17.84,0,63.13,54.82,12.03
3152,Alameda ,94539,-121.9128679,37.4707218,33.61,33.19,57.79,0,61.1,23.19,8.25
4352,Alameda ,94577,-122.1466229,37.7358429,0,26.02,68.54,0,22.48,65.31,26.6
3183,Alameda ,94602,-122.2215015,37.8041479,0,21.87,95.89,0,14.74,78.68,34.71
2873,Alameda ,94536,-121.9915834,37.5591933,0.32,33.96,66.77,0,87.68,61.38,6.17
4768,Alameda ,94501,-122.2309908,37.765116,33.32,33.98,57.28,0,19.36,23.4,29.09
5251,Alameda ,94588,-121.8526518,37.6824862,31.09,33.42,57.24,0,78.11,23.4,21.52
4482,Alameda ,94550,-121.7489971,37.6849518,0,21.37,96.35,0,90.27,55.49,36.41
4657,Alameda ,94588,-121.8238089,37.718917,29.82,31.45,80.8,51.31,82.99,20.12,15.22
4103,Alameda ,94568,-121.9177415,37.7106983,2.21,34.83,44.69,0,66.15,77.65,16.34
6560,Alameda ,94544,-122.0285144,37.619128,46.67,34.04,40.73,35.74,89.06,16.81,11.01
4885,Alameda ,94551,-121.8156491,37.6896396,0,20.96,92.47,0,58.3,27.06,90.22
4576,Alameda ,94610,-122.2487541,37.8171931,41.22,34.64,30.09,56.66,23.96,23.4,4.1
1571,Alameda ,94501,-122.2690581,37.7714922,0,20.76,92.52,0,89.5,98.79,58.14
6526,Alameda ,94602,-122.2131962,37.8055076,0,22.82,50.13,0,13.97,42.62,15.16
4681,Alameda ,94501,-122.2396733,37.7533266,0,27.4,60.96,39.09,36.04,71.83,45.35
4557,Alameda ,94577,-122.1245218,37.7212241,0,26.71,51.29,24.38,21.4,86.83,33.73
9434,Alameda ,94542,-122.0458797,37.6552403,32.14,30.9,67.65,37.89,32.04,34.14,18.9
7042,Alameda ,94536,-121.9910071,37.5780625,4.57,28.49,50.23,0,37.45,93.54,42.91
3308,Alameda ,94566,-121.8275908,37.6673926,0,25.14,33.47,0,68.35,99.1,4.48
4561,Alameda ,94536,-121.9732494,37.5647659,0,32.26,66.14,0,75.54,59.16,24.45
2603,Alameda ,94587,-122.0746719,37.5773806,0,21.63,96.63,0,50.01,89.24,26.53
4640,Alameda ,94536,-121.9620573,37.5852993,0,21.41,95.42,0,20.24,78.68,44.42
4567,Alameda ,94605,-122.1755727,37.7751005,0,21.78,95.83,0,16.25,78.68,21.08
5233,Alameda ,94566,-121.8874736,37.657232,0,31.23,76.88,0,86.3,37.72,18.86
3859,Alameda ,94560,-122.0571016,37.536519,47.8,35.4,54.11,55.53,28.35,46.66,2.09
4054,Alameda ,94538,-121.9678075,37.5424223,0,23.85,48.62,0,49.16,99.31,49.24
4109,Alameda ,94539,-121.9242947,37.4902675,0,23.43,82.92,0,28.85,95.7,25.51
3855,Alameda ,94619,-122.1903803,37.7932754,0,31.95,41.16,0,56.57,63.96,46.94
4674,Alameda ,94550,-121.7756214,37.6712489,0,30.02,86.41,0,33.42,73.06,25.13
4396,Alameda ,94704,-122.259979,37.8667875,0,20.08,90.15,0,62.27,93.13,35.33
3634,Alameda ,94706,-122.2950048,37.8867059,48.92,33.45,29.65,23.98,74.93,16.58,16.33
2416,Alameda ,94610,-122.2569405,37.8159606,0,21.12,95.38,0,68.11,98.09,33.06
1991,Alameda ,94555,-122.0398734,37.5823791,0,21.26,96.38,0,83.31,83.17,22.65
5114,Alameda ,94538,-121.9615164,37.5278226,0,32.85,52.65,0,49.76,63.96,39.48
8722,Alameda ,94536,-121.9976615,37.544306,28.88,32.1,69.39,18.63,84.46,20.54,5.3
2308,Alameda ,94555,-122.0376753,37.5735681,0,19.41,79.02,0,37.88,54.41,27.99
2310,Alameda ,94550,-121.7246715,37.6894445,15.45,32.18,12.03,0,26.12,72.82,17.39
5553,Alameda ,94602,-122.2022249,37.8033164,0,32.49,65.89,0,62.92,55.21,14.83
6875,Alameda ,94613,-122.1866595,37.7817414,7.16,36.58,69.28,0,84.35,7.78,3.05
1724,Alameda ,94550,-121.7607445,37.6683795,0,21.5,96.63,0,84.36,68.64,33.45
3129,Alameda ,94546,-122.0969654,37.7041735,26.82,30.12,90.09,0,42.11,39.02,9.92
5659,Alameda ,94703,-122.2680467,37.859365,0,20.66,92.68,0,37.37,32.46,87.35
3283,Alameda ,94709,-122.2695878,37.8752396,0,19.57,78.9,0,28.09,50.62,22.23
4611,Alameda ,94501,-122.2738461,37.766273,7.46,37.79,65.07,0,83.37,7.78,2.7
3844,Alameda ,94555,-122.0464869,37.5647793,0.77,34.11,66.3,0,69.15,61.84,5.23
6259,Alameda ,94587,-122.0858459,37.5819265,0,22.55,57.16,0,31.78,78.68,21.54
2684,Alameda ,94566,-121.8685809,37.6736928,0,22.56,62.83,0,33.33,77.1,40.02
3118,Alameda ,94704,-122.2592723,37.8631882,0,20.44,92.66,0,54.67,71,49.51
3618,Alameda ,94703,-122.2675177,37.8523001,35.82,32.16,68.42,0,99.45,39.02,32.43
5048,Alameda ,94566,-121.8647522,37.6602817,0,22.94,62.95,0,57.42,77.1,30.61
4074,Alameda ,94536,-122.0194346,37.5693426,7.62,38.81,77.37,3.12,93.13,7.82,6.54
4980,Alameda ,94705,-122.2573724,37.8547152,0,30.68,86.08,0,95.46,37.94,14.21
3310,Alameda ,94588,-121.8430342,37.7163164,0,29.86,47.72,0,47.11,73.06,2.31
5558,Alameda ,94704,-122.2495401,37.8679125,10.07,37.2,58.77,0,86.77,7.78,3.04
6499,Alameda ,94550,-121.7900626,37.6621232,0,32.3,58.21,36.86,49.63,63.96,16.35
5262,Alameda ,94619,-122.1931965,37.7765228,41.73,31.89,24.81,6.58,76.62,32.69,3.76
3428,Alameda ,94550,-121.787947,37.6721084,0,23.12,73.68,0,60.33,80.69,38.09
2020,Alameda ,94703,-122.2779152,37.8740723,0,20.56,92.74,0,59.24,87.73,45.96
2985,Alameda ,94568,-121.8911928,37.7208265,7.1,38.48,73.27,0,86.98,7.78,2.93
